OID_,WellName,Zm,Xm,Ym
126,15-12,1118.45,327138.018,4406034.795
127,15-12,1117.45,327138.016,4406034.795
128,15-12,1116.45,327138.015,4406034.794
129,15-12,1115.45,327138.013,4406034.792
130,15-12,1114.45,327138.011,4406034.791
131,15-12,1113.45,327138.009,4406034.789
132,15-12,1112.45,327138.008,4406034.787
133,15-12,1111.45,327138.007,4406034.785
134,15-12,1110.45,327138.005,4406034.783
135,15-12,1109.45,327138.004,4406034.78
136,15-12,1108.45,327138.002,4406034.777
137,15-12,1107.45,327138.001,4406034.774
138,15-12,1106.45,327137.999,4406034.771
139,15-12,1105.45,327137.998,4406034.768
140,15-12,1104.45,327137.996,4406034.764
141,15-12,1103.45,327137.995,4406034.76
142,15-12,1102.45,327137.993,4406034.756
143,15-12,1101.45,327137.992,4406034.751
144,15-12,1100.45,327137.99,4406034.747
145,15-12,1099.45,327137.989,4406034.742
146,15-12,1098.45,327137.988,4406034.737
147,15-12,1097.45,327137.986,4406034.732
148,15-12,1096.45,327137.985,4406034.726
149,15-12,1095.45,327137.983,4406034.721
150,15-12,1094.45,327137.982,4406034.715
151,15-12,1093.45,327137.981,4406034.709
152,15-12,1092.451,327137.98,4406034.703
153,15-12,1091.451,327137.978,4406034.696
154,15-12,1090.451,327137.977,4406034.69
155,15-12,1089.451,327137.976,4406034.684
156,15-12,1088.451,327137.975,4406034.678
157,15-12,1087.451,327137.973,4406034.673
158,15-12,1086.451,327137.972,4406034.668
159,15-12,1085.451,327137.97,4406034.663
160,15-12,1084.451,327137.969,4406034.659
161,15-12,1083.451,327137.968,4406034.655
162,15-12,1082.451,327137.966,4406034.651
163,15-12,1081.451,327137.965,4406034.647
164,15-12,1080.451,327137.963,4406034.644
165,15-12,1079.451,327137.962,4406034.641
166,15-12,1078.451,327137.96,4406034.638
167,15-12,1077.451,327137.959,4406034.636
168,15-12,1076.451,327137.957,4406034.634
169,15-12,1075.451,327137.956,4406034.632
170,15-12,1074.451,327137.954,4406034.631
171,15-12,1073.451,327137.952,4406034.63
172,15-12,1072.451,327137.951,4406034.629
173,15-12,1071.451,327137.949,4406034.628
174,15-12,1070.451,327137.948,4406034.628
175,15-12,1069.451,327137.946,4406034.628
176,15-12,1068.451,327137.944,4406034.628
177,15-12,1067.451,327137.943,4406034.629
178,15-12,1066.451,327137.941,4406034.63
179,15-12,1065.451,327137.94,4406034.631
180,15-12,1064.451,327137.938,4406034.632
181,15-12,1063.451,327137.936,4406034.634
182,15-12,1062.451,327137.935,4406034.636
183,15-12,1061.451,327137.933,4406034.638
184,15-12,1060.451,327137.931,4406034.641
185,15-12,1059.451,327137.929,4406034.643
186,15-12,1058.451,327137.927,4406034.645
187,15-12,1057.451,327137.925,4406034.647
188,15-12,1056.451,327137.923,4406034.648
189,15-12,1055.451,327137.921,4406034.65
190,15-12,1054.451,327137.919,4406034.651
191,15-12,1053.451,327137.917,4406034.652
192,15-12,1052.451,327137.915,4406034.653
193,15-12,1051.451,327137.913,4406034.654
194,15-12,1050.451,327137.91,4406034.655
195,15-12,1049.451,327137.908,4406034.655
196,15-12,1048.451,327137.906,4406034.655
197,15-12,1047.451,327137.903,4406034.655
198,15-12,1046.451,327137.9,4406034.655
199,15-12,1045.451,327137.898,4406034.655
200,15-12,1044.451,327137.895,4406034.655
201,15-12,1043.451,327137.892,4406034.655
202,15-12,1042.451,327137.89,4406034.654
203,15-12,1041.451,327137.887,4406034.653
204,15-12,1040.451,327137.884,4406034.652
205,15-12,1039.451,327137.881,4406034.651
206,15-12,1038.451,327137.878,4406034.65
207,15-12,1037.451,327137.875,4406034.648
208,15-12,1036.451,327137.872,4406034.647
209,15-12,1035.451,327137.868,4406034.645
210,15-12,1034.451,327137.865,4406034.643
211,15-12,1033.451,327137.862,4406034.641
212,15-12,1032.451,327137.858,4406034.638
213,15-12,1031.451,327137.855,4406034.636
214,15-12,1030.451,327137.851,4406034.633
215,15-12,1029.451,327137.848,4406034.631
216,15-12,1028.451,327137.845,4406034.629
217,15-12,1027.451,327137.842,4406034.627
218,15-12,1026.451,327137.839,4406034.625
219,15-12,1025.451,327137.837,4406034.623
220,15-12,1024.451,327137.834,4406034.622
221,15-12,1023.451,327137.831,4406034.621
222,15-12,1022.451,327137.829,4406034.62
223,15-12,1021.451,327137.826,4406034.619
224,15-12,1020.451,327137.824,4406034.618
