WellName,from,to,type,X,Y,Z,Confidence
81-1,199.64,223.63,Complete LOC,328567.28,4408511.94,1074.84,1
81A-1,153.62,162.76,Complete LOC,328598.76,4408556.48,1122.32,1
81A-1,153.62,162.76,Complete LOC,328598.76,4408556.48,1122.32,1
81B-1,129.24,135.94,Partial LOC,328528.63,4408431.24,1142.27,1
81B-1,129.24,135.94,Partial LOC,328528.63,4408431.24,1142.27,1
81B-1,135.94,140.51,Complete LOC,328528.63,4408431.24,1135.57,1
81B-1,135.94,140.51,Complete LOC,328528.63,4408431.24,1135.57,1
82A-11,1219.2,1243.58,Fault,327023.8679,4406694.582,43.53840234,1
82A-11,1219.2,1243.58,Fault,327023.8679,4406694.582,43.53840234,1
82A-11-RD1,1599.59,1630.68,Partial LOC,327122.2184,4406913.621,-272.1031539,1
82A-11-RD1,1599.59,1630.68,Partial LOC,327122.2184,4406913.621,-272.1031539,1
82A-11-RD2,1610.56,1624.58,Partial LOC,327112.7703,4406995.691,-258.00052,1
82A-11-RD2,1610.56,1624.58,Partial LOC,327112.7703,4406995.691,-258.00052,1
82A-11-RD3,1727.61,1734.01,Partial LOC,327010.3916,4406997.677,-413.2770286,1
82A-11-RD3,1727.61,1734.01,Partial LOC,327010.3916,4406997.677,-413.2770286,1
82A-11-RD3,1734.01,1738.27,Complete LOC,327010.9483,4407000.733,-418.8716064,1
82A-11-RD3,1734.01,1738.27,Complete LOC,327010.9483,4407000.733,-418.8716064,1
82A-11-RD3,1740.71,1745.28,Complete LOC,327011.5803,4407003.984,-424.6958587,1
82A-11-RD3,1740.71,1745.28,Complete LOC,327011.5803,4407003.984,-424.6958587,1
82A-11-RD3,1760.83,1787.35,Complete LOC,327013.4782,4407013.748,-442.1860012,1
82A-11-RD3,1760.83,1787.35,Complete LOC,327013.4782,4407013.748,-442.1860012,1
88-11,998.83,1347.52,Complete LOC,326889,4405445.07,246.13,1
88-11,998.83,1347.52,Complete LOC,326889,4405445.07,246.13,1
BCH-1,91.44,97.54,Fault,328398.2,4408874.16,1177.59,1
BCH-2,188.98,195.07,Fault,327732.14,4408006.28,1064.52,1
BCH-2,377.95,384.05,Fault,327732.14,4408006.28,875.55,1
BCH-2,621.79,629.41,Fault,327732.14,4408006.28,631.71,1
BCH-2,647.09,656.23,Complete LOC,327732.14,4408006.28,606.41,1
BCH-2,792.48,798.58,Fault,327732.14,4408006.28,461.02,1
BCH-2,886.97,981.46,Many Faults,327732.14,4408006.28,366.53,1
BCH-2,981.46,1001.27,Fault,327732.14,4408006.28,272.04,1
BCH-2,1167.38,1171.96,Fault,327732.14,4408006.28,86.12,1
BCH-2,1199.39,1203.96,Fault,327732.14,4408006.28,54.11,1
BCH-2,1210.06,1211.58,Fault,327732.14,4408006.28,43.44,1
BCH-3,629.72,639.17,Fault,327120.093,4406012.221,614.8414829,1
BCH-3,1103.68,1112.82,Fault,327104.011,4406020.38,141.2335696,1
BCH-3,1210.06,1216.15,Fault,327101.2547,4406022.946,34.92070276,1
BCH-3,1249.68,1261.87,Fault,327100.319,4406024.213,-4.668,1
MG-1(SP-1),646.18,650,Partial LOC,328183.59,4407215.545,619.82,1
MG-2(SP-2),136.85,140,Partial LOC,328128.08,4407627.3,1119.15,1
MG-2(SP-2),267,268,Partial LOC,328128.08,4407627.3,989,1
MGI-1,136.25,140,Partial LOC,327853.91,4406786.19,1120.53,1
MGI-1,176.78,180,Partial LOC,327853.91,4406786.19,1080,1
