,OptimMethod,ScenarioNum,SimulationShiftType,DatNormMethod,ExplorationRate,ErrorType,LocalWeightsMode,ErrorNorm,ExplorationStage,AcceptProbType,cubesize,ConstNormFactor,GlobalMoveEachDir,XYZ_Axes_StepStd,Dip_StepStd,Slip_StepStd,localWeightRadiusMult,DipDirection_StepStd,SlipParam,SteppingSizeMult,MaxFaultMarkerError,AmplitudeRatioChange,AzimuthMoveEachDirection,AxisRatioChange,DipMoveEachDirection,StartUpdateLocalWeight,nExploreRuns,MO_WeightingMethod,nruns,AcceptanceGoal,Eta,IndMatingProb,IndMutatingProb,InitialTemperature,MCMC_SwitchWeightFreq,MO_SwitchWeightFreq,MatingMethodGlobal,MatingMethodLocal,MatingSwapProb,MatingSwapRange,MutatingMethod,PbMutateParameter,ReductionRate,SelectionMethod,TournamentSize,UpdateLocalWeightsFreqRuleBased,npop,thread_num,OutputImageFreq,Toy,verbose,BaseFolder,GeneralPerturbStrategy,ControlPointMovementUnits,errCalcMethodFaultMarker,DataTypes,JoinType,xy_extent,xy_origin,DatNormCoef,graniteIdx,Windows,ngen,LocalWeightsMethod,MinMismatch,Grav,Mag,Tracer,GT,FaultMarkers
388,NSGA,21,Median Datum Shift,Given,,Local,Once,Lhalf,,,150,,482.58912873443006,78.25210369459808,4.845060926913762,35.614836521444104,1.414775126067199,3.0085306122227164,0.21909652874204322,,525.1459547434008,0.199168376597462,3.5416587851331007,0.2204278469044955,37.12047033648412,,,,3514,,,,0.3914388320390224,,,,,cxOnePointLocal,,,mutGaussian,0.17941553778989752,,,,,67.0,390,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,52.0,RuleBased,0.7658807181765022,0.7640352273333061,0.5208092068786121,0.75,0.7298775002737824,1.0646816563968107
389,Annealing,18,Median Datum Shift,MedianInitialRounds,None,Local,Many,L1,Explore,Annealing,150,,842.175345153067,121.67764916544007,3.3570457657873423,73.00363059824556,1.096476834101977,3.4739077945407875,0.10987068666074826,,525.8899616613803,0.18225054292497034,3.7717128743886064,0.20234042133235286,35.183533996223225,53.0,64.0,Equal,2987,,,,,0.008543064418064973,,,,,,,,,0.9754973323975559,,,54.0,,391,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5746453451872029,0.9320740744402636,0.5327996252275587,0.25,0.37894868745605764,0.7794043388121346
390,MCMC,21,Median Datum Shift,Given,LinearErrorBased,Local,Once,L2,Explore,Const diff,150,0.00974012545350339,480.3712001383142,142.42671181796405,2.1604405181764994,87.470148669927,1.0656382679707277,4.626143689537259,0.09041968888126106,1.2280976755605033,525.684239415706,0.2438748434128033,6.4455908076846455,0.20126029864407086,39.8087776534783,57.0,54.0,Proportions,2775,,,,,,,,,,,,,,,,,,,392,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5169613660188762,0.8777125966433238,0.5614245617931914,0.0,0.4848253396399533,0.6608443320179126
391,GA,18,Median Datum Shift,MedianInitialRounds,,Global,,L1,,,150,,835.6132758297948,117.49157973431409,5.8790126392670095,55.968733677661334,,6.812782981715182,0.09928652465610485,,525.5692775950178,0.08162492636233895,4.220619284394729,0.14876569352321287,39.133695769966074,,,Proportions,3032,,116.1560490674564,0.775762366445334,0.3442294331945683,,,,cxTwoPoint,,,,mutPolynomialBounded,0.2106421627914708,,selTournament,7.0,,31.0,393,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,97.0,,0.6200942740234622,0.8771130633417134,0.5373516224017052,0.25,0.5972131415672993,0.8387935428065928
392,NSGA,17,Median Datum Shift,Given,,Local,Many,Lhalf,,,150,,387.0340615779627,141.42150396111572,3.36791732276478,48.12299885588068,1.525901128348916,9.64320731338086,0.16046713220550693,,525.8090224919611,0.21766405271166783,4.681034971237959,0.13741715017192835,36.74925551328303,,,,3308,,100.69968930460095,,0.3294732057288129,,,,,cxLocalErrorPropExchange,,,mutPolynomialBounded,0.23328370858453396,,,,,76.0,394,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,43.0,RuleBased,0.6857656277432018,0.8628517293965371,0.5610023983110124,0.375,0.48173949838636276,1.1482345126220967
393,Annealing,20,Median Datum Shift,Given,None,Local,Many,L2,Explore,Annealing,150,,822.262416935876,72.78478195646694,6.439859060652369,31.722815097077337,1.6442185539315473,8.955254252862366,0.13554614171752724,,525.3467684423008,0.10336930641513226,8.155097176042872,0.23959027274396905,29.99550627328531,60.0,70.0,Proportions,2228,,,,,0.015901482918317326,,,,,,,,,0.9884854332813869,,,44.0,,395,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6229416755686252,0.8517932764977306,0.5419093213440349,0.3125,0.47530966195225105,0.9331961180491091
394,MCMC,13,Median Datum Shift,Given,LinearErrorBased,Local,Many,L1,Explore,Const diff,150,0.0020738457443553273,620.5404889655752,93.34136882931072,6.979882792928152,55.42217095664653,2.2286820537288023,2.546252042517982,0.212998266083438,1.2330482698975354,525.2004862538437,0.0860872010023583,8.21843342724121,0.08241955622447811,39.00373452968459,44.0,69.0,Equal,2333,,,,,,,,,,,,,,,,,50.0,,396,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6829831997471016,0.9000502943811988,0.5560359742522203,0.25,0.4845055339163238,1.2243241961857658
395,GA,18,Median Datum Shift,MedianInitialRounds,,Local,Many,L1,,,150,,519.1264331947194,72.92682496342069,5.566345432445037,58.02475185348223,1.2384764585836323,2.908658857890897,0.20048325948761067,,525.8279086344157,0.21841027286739523,5.0748146477711416,0.1419795308724178,28.55475537734015,,,Equal,2864,,,0.7948681873150426,0.25027395399557856,,,,,cxTwoPointLocal,,,mutGaussian,0.1016265560372403,,selTournament,5.0,,36.0,397,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,79.0,RuleBased,0.657827848592424,1.00408834188959,0.5387908282715891,0.125,0.487762061701865,1.1334980110990762
396,NSGA,16,Median Datum Shift,MedianInitialRounds,,Global,,Lhalf,,,150,,405.0586167206897,85.27474991386202,3.6672411640357367,50.122461900767796,,7.596815700359614,0.1531594656909219,,525.3192596401744,0.24265696394481168,3.9282472353791644,0.07277479877613093,32.582352052044605,,,,2070,,84.03137572398366,,0.34884470583141314,,,,cxOnePoint,,,,mutPolynomialBounded,0.1519667861574654,,,,,42.0,398,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,49.0,,0.8324381952851851,0.8315502455641584,0.5699187260747386,0.875,0.7773266394556626,1.1083953653313667
397,Annealing,20,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Local,Once,L1,Explore,Annealing,150,,682.1581534206002,89.60153801393676,3.2497962946014547,66.87008167375586,2.349796964205299,8.494760749656233,0.14141585251946948,1.3320870145844173,525.8196377882068,0.12992078075296953,7.438656210040505,0.06460106378018667,39.37907946488926,40.0,64.0,Proportions,3926,,,,,0.015567461635214365,,,,,,,,,0.9890174618461813,,,,,399,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5501834583998632,0.8810246074770003,0.5779495269769589,0.0,0.4137294814085243,0.8782136761368324
398,MCMC,17,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Global,,L2,Explore,Const diff,150,0.002888228105692326,508.2800908186381,93.48042017525142,5.332652360673533,39.38501685831365,,5.174139610595202,0.175513033823593,0.986537378887226,525.1608177516052,0.23736190821922043,5.799936759976648,0.2142264578928951,39.09853129808244,,69.0,Equal,2148,,,,,,,,,,,,,,,,,,,400,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5129509490106959,0.7831529922602875,0.5297605680672286,0.0625,0.3894680282899315,0.7998731564360321
399,GA,16,Median Datum Shift,Given,,Local,Many,L2,,,150,,696.8226059764354,109.29405788776549,2.1330334240931315,32.653070156371335,1.815187143428314,3.334190883195207,0.21492572020755746,,525.298645062109,0.23569444648183963,9.160241517973528,0.16029499129918034,33.045842157822435,,,Equal,3195,,,0.8568412739946367,0.3225564531041869,,,,,cxTwoPointLocal,,,mutGaussian,0.2237294403434067,,selTournament,4.0,,38.0,401,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,84.0,RuleBased,0.6712184755932643,0.9597788965684083,0.544872191294035,0.125,0.5510246170660094,1.1754166730378692
400,NSGA,17,Median Datum Shift,Given,,Global,,L1,,,150,,531.7082844100578,132.76498706905073,3.9190719399933966,71.52709835724995,,2.595414089470218,0.16594903022375945,,525.0449785656068,0.18009116083618237,4.359953959111669,0.07447610271466713,33.708766665707785,,,,3431,,,,0.29407071678013086,,,,cxOnePoint,,,,mutUniformFloat,0.20625141045737616,,,,,38.0,402,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,90.0,,0.6737280887655045,1.0105555422090127,0.8809081067582061,0.3125,0.5052115413086885,0.6594652535516152
401,Annealing,15,Median Datum Shift,Given,LinearErrorBased,Local,Many,L1,Explore,Annealing,150,,389.3562104126737,134.12108502340743,5.099988018831126,80.87330333834683,1.95011586081379,5.529983144248075,0.1558207635622986,1.0631027674130828,525.5379411208106,0.08583346341127301,8.31600859274193,0.04503989307056354,36.326955756689294,41.0,58.0,Proportions,3257,,,,,0.012259410034938047,,,,,,,,,0.975623455695673,,,42.0,,403,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6967826771190216,1.0182982281217083,0.6126679085739783,0.4375,0.45155861035222383,0.9638886385471978
402,MCMC,14,Median Datum Shift,Given,None,Global,,L2,Explore,Const diff,150,0.009703441822972652,531.0775029631295,128.22257587160962,5.583337196469998,37.565853827683206,,5.8636171978974865,0.20852038475745222,,525.0223981385725,0.2440263225917148,8.076013547355519,0.09547649174412502,28.234812398144417,,54.0,Proportions,3092,,,,,,,,,,,,,,,,,,,404,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.7075932049491815,1.0746665326444185,0.5205612090772328,0.375,0.401372943397737,1.166365339626519
403,GA,20,Median Datum Shift,MedianInitialRounds,,Local,Once,Lhalf,,,150,,365.24706615721595,141.41135950809894,6.01626380186716,85.46340389822859,1.848218032010708,4.786622959730982,0.10165573274944337,,525.0119636289936,0.14935337390672265,8.997628114718381,0.0692522362170296,33.3229807412163,,,Proportions,2004,,,0.781824745845988,0.35294910002630486,,,,,cxOnePointLocal,,,mutUniformFloat,0.23910263006982482,,selTournament,12.0,,50.0,405,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,40.0,RuleBased,0.5355439393741463,0.9107026323859057,0.5642297092370241,0.0,0.4797065098224032,0.723080845425399
404,NSGA,17,Median Datum Shift,Given,,Local,Once,L2,,,150,,618.7385162948668,113.30287089204037,2.730514006169591,83.88471792114659,2.020772496846748,6.3189529313700366,0.1057566878688779,,525.4643349316366,0.05037096986557996,7.132437206327385,0.053641343812262765,33.04272074621585,,,,3509,,,,0.25830127685196597,,,,,cxLocalErrorPropExchange,,,mutUniformFloat,0.19862694154113966,,,,,43.0,406,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,81.0,RuleBased,0.7074935265711793,1.0170838334242418,0.564605554544162,0.375,0.33010453877443874,1.2506737061130537
405,Annealing,20,Median Datum Shift,MedianInitialRounds,None,Local,Once,L1,Explore,Annealing,150,,593.5722257342536,141.59678765486797,4.814167691555527,60.20657111704929,1.7625439328194998,9.501757607003256,0.11223857584822325,,525.2978588472387,0.08364609315698653,8.301859780150554,0.08193709453418468,36.09451414939998,59.0,68.0,Proportions,3487,,,,,0.022069503876742322,,,,,,,,,0.9563179568646166,,,,,407,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6144861683408782,0.9757575014553542,0.6594311759565087,0.1875,0.5560780051491133,0.6936641591434146
406,MCMC,19,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Local,Once,L2,Explore,Track Acceptance,150,0.001502575599792578,720.3924328559533,141.46948369483414,5.972076785241789,73.75855369648784,1.9203495859125577,7.6345088250242,0.15583320245738375,1.0960735956790708,525.2823644746995,0.17117176703523151,7.808521661121327,0.09649805933157657,31.257549610428896,59.0,56.0,Equal,3380,0.13890461092413894,,,,,,,,,,,,,,,,,,408,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5551800110227704,0.7356413158009983,0.5510485666135965,0.1875,0.5685548862923483,0.7331552864069089
407,NSGA,20,Median Datum Shift,Given,,Global,,L2,,,150,,824.2689501501177,140.63784932032544,4.745259683458121,70.48171964294937,,6.938854577631895,0.09511308195225372,,525.1283298126672,0.10078742443580285,8.729410391826319,0.16967001531630066,36.27684541044847,,,,2034,,82.19895782766903,,0.3844646143828217,,,,cxOnePoint,,,,mutPolynomialBounded,0.21943390429489057,,,,,75.0,410,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,27.0,,0.7479911590663834,0.9532090405022348,0.6988388375975079,0.375,0.650637100248782,1.0622708169833925
408,Annealing,16,Median Datum Shift,Given,LinearErrorBased,Local,Once,L2,Explore,Annealing,150,,663.9382021944473,109.18683208522629,3.672153760783941,39.87563495985132,2.091834565483594,6.078823310896395,0.21450219878625493,1.124158665346271,525.6712549391848,0.05819487968594599,4.432983951582797,0.1722271382070805,36.670201352609375,40.0,51.0,Equal,3809,,,,,0.01705711595294852,,,,,,,,,0.9844859360137798,,,,,411,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5975495341427098,0.8558432757790748,0.543878262150136,0.25,0.5219104804697507,0.8161156523145875
409,MCMC,21,Median Datum Shift,Given,LinearErrorBased,Local,Many,L2,Explore,Track Acceptance,150,0.010187115538605459,481.51544828541654,79.06118288172239,2.7160216800686072,55.32430937507118,2.3955925975240344,8.054942219595121,0.1676183981300565,1.1290159607885046,525.65548143614,0.14580846501395933,6.371933246563667,0.047406511019821074,25.622557462335056,41.0,43.0,Equal,3008,0.07771983543807608,,,,,,,,,,,,,,,,43.0,,412,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6679139689388409,0.9330664188168818,0.5681037515239079,0.25,0.652847238818878,0.9355524355345366
410,GA,16,Median Datum Shift,MedianInitialRounds,,Local,Once,L2,,,150,,790.877007823055,94.83860127445115,5.931192470825464,85.53014144813476,1.9795713825576136,6.258235720203956,0.1167144883915762,,525.2518568960331,0.2216480666999056,5.568657296236862,0.17307787705246547,34.9474357487903,,,Equal,2556,,,0.8153194678961527,0.24329628499923667,,,,,cxLocalErrorPropExchange,,,mutGaussian,0.1853712212009045,,selTournament,4.0,,36.0,413,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,71.0,RuleBased,0.6260917272868067,0.9729602144570304,0.5741165678549986,0.3125,0.5754569365384143,0.6954249175835905
411,NSGA,18,Median Datum Shift,Given,,Local,Many,Lhalf,,,150,,407.86641385565105,106.45814425870788,2.3776801659245037,33.903664445196135,2.3473525590783373,6.754943507254048,0.1883578438908698,,525.6832399993457,0.20376384742525194,9.020370154763103,0.19932438849410797,34.41899074262011,,,,2260,,99.04852865609408,,0.3071771048532548,,,,,cxTwoPointLocal,,,mutPolynomialBounded,0.20458282875093636,,,,,73.0,414,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,30.0,RuleBased,0.6303128403843262,1.0403463676753069,0.5508072736083134,0.1875,0.6000435712902021,0.7728669893478084
412,Annealing,20,Median Datum Shift,Given,LinearErrorBased,Local,Once,L1,Explore,Annealing,150,,607.7229308554975,93.22472225156048,3.2597408491613473,31.81845592763508,1.2055515295766865,7.034187530084592,0.20361853989524611,0.9673211066374967,525.0807711220477,0.21484097022740778,8.98876327744977,0.05112296070064416,38.50677894604436,59.0,49.0,Equal,3323,,,,,0.0013658625473746647,,,,,,,,,0.9722292661927585,,,,,415,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5717286786185352,0.8733146973565933,0.53180818449837,0.4375,0.3057649664668672,0.7102555447708447
413,MCMC,19,Median Datum Shift,MedianInitialRounds,None,Global,,L1,Explore,Const diff,150,0.008344861684330015,721.396226646955,118.76496219926722,2.0499314850392247,63.263282781501,,3.3369243508031676,0.09818992802998831,,525.6282024609279,0.11200841245889513,3.1833501095548313,0.1545235369826882,33.071187062634095,,51.0,Equal,2826,,,,,,,,,,,,,,,,,,,416,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.5311699611809237,0.878966980168861,0.5268635934381237,0.0,0.4287925134671896,0.8212267188304442
414,GA,18,Median Datum Shift,Given,,Global,,Lhalf,,,150,,417.0414475962856,130.33776738023371,2.769350758485002,41.80500968668912,,8.585994920139854,0.14873833228111918,,525.471761462476,0.15145458364169354,6.748333373821174,0.1920004397732755,36.910291423792444,,,Proportions,3237,,,0.865364677920516,0.34470302718911217,,,,cxOnePoint,,,,mutUniformFloat,0.2110298273168642,,selTournament,6.0,,27.0,417,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,119.0,,0.6496530242067495,0.8716198882954007,0.5606083814766192,0.1875,0.6572478707660883,0.971288980495639
415,NSGA,20,Median Datum Shift,Given,,Local,Many,Lhalf,,,150,,767.3538750021023,106.14925438832006,3.4738138093486093,85.52722736120356,2.322008595280011,3.594124821797098,0.1120189260753086,,525.7289064461268,0.15189718925103723,6.9119391915396475,0.06620280387439341,27.119948707954823,,,,3645,,,,0.2393751390068633,,,,,cxOnePointLocal,,,mutGaussian,0.10692811719404688,,,,,49.0,418,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,74.0,RuleBased,0.6073675747840934,0.9054245295339618,0.5961749934240632,0.125,0.5089513959925012,0.9012869549699413
416,Annealing,12,Median Datum Shift,Given,None,Local,Once,Lhalf,Explore,Annealing,150,,895.3664949454276,78.51342742514385,4.277408484986876,62.07001596668526,2.2162169776914222,5.922702103066863,0.09453414585786044,,525.7646330543133,0.14616765549688418,7.590794553682634,0.24444679923523388,38.015669567800174,42.0,63.0,Equal,2298,,,,,0.00785553383322015,,,,,,,,,0.9612301976417966,,,,,419,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.8460701837185172,0.9307097514795201,0.5482176955289473,1.0,0.48066754289089697,1.270755928693221
417,MCMC,13,Median Datum Shift,MedianInitialRounds,None,Local,Many,Lhalf,Explore,Error must decrease,150,0.014341638683026698,719.0986126900439,85.97561695152073,5.739803673941346,50.56968066738235,1.8623969564147353,9.998985336176618,0.1869142979190729,,525.8568468844608,0.24319516941522462,8.34100603686232,0.0712289373500436,30.466420728875402,37.0,69.0,Equal,2240,,,,,,,,,,,,,,,,,52.0,,420,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.8835200410569325,0.9574075518588956,0.5411971744337187,0.8125,0.562017181747667,1.5444782972443807
418,GA,14,Median Datum Shift,MedianInitialRounds,,Global,,Lhalf,,,150,,434.149773738224,94.18423531871699,2.4340711832118322,41.01867865712997,,9.628005545404145,0.134748795294095,,525.1883640626598,0.06423212520842202,7.976988885474009,0.17159640824104072,35.75251402329472,,,Proportions,2118,,86.87005457311837,0.8652048307306545,0.38091319459160994,,,,cxUniform,,0.5212417347336951,,mutPolynomialBounded,0.1233347833805725,,selTournament,6.0,,76.0,421,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,27.0,,0.6658563557951548,0.8983730806669843,0.5386097073466702,0.3125,0.5911422619003407,0.9886567290617788
