,OptimMethod,ScenarioNum,SimulationShiftType,DatNormMethod,ExplorationRate,ErrorType,LocalWeightsMode,ErrorNorm,ExplorationStage,AcceptProbType,cubesize,ConstNormFactor,GlobalMoveEachDir,XYZ_Axes_StepStd,Dip_StepStd,Slip_StepStd,localWeightRadiusMult,DipDirection_StepStd,SlipParam,SteppingSizeMult,MaxFaultMarkerError,AmplitudeRatioChange,AzimuthMoveEachDirection,AxisRatioChange,DipMoveEachDirection,StartUpdateLocalWeight,nExploreRuns,MO_WeightingMethod,nruns,AcceptanceGoal,Eta,IndMatingProb,IndMutatingProb,InitialTemperature,MCMC_SwitchWeightFreq,MO_SwitchWeightFreq,MatingMethodGlobal,MatingMethodLocal,MatingSwapProb,MatingSwapRange,MutatingMethod,PbMutateParameter,ReductionRate,SelectionMethod,TournamentSize,UpdateLocalWeightsFreqRuleBased,npop,thread_num,OutputImageFreq,Toy,verbose,BaseFolder,GeneralPerturbStrategy,ControlPointMovementUnits,errCalcMethodFaultMarker,DataTypes,JoinType,xy_extent,xy_origin,DatNormCoef,graniteIdx,Windows,ngen,LocalWeightsMethod,MinMismatch,Grav,Mag,Tracer,GT,FaultMarkers
10,NSGA,17,Median Datum Shift,MedianInitialRounds,,Local,Once,L1,,,150,,563.4149064536782,78.48127518524959,4.901242715767739,50.98704509908853,1.568686036570248,2.73790035945201,0.16020051712248318,,525.6387694822866,0.1478227261008237,8.392228543020424,0.22935175176042824,28.365144319222814,,,,3101,,,,0.26995392039331856,,,,,cxLocalErrorPropExchange,,,mutGaussian,0.1869513374419398,,,,,47.0,10,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,65.0,RuleBased,0.8749679888189468,1.1041620645852024,0.5621198810094742,1.0,0.5056817270379822,1.2028762714620747
11,Annealing,11,Median Datum Shift,Given,LinearErrorBased,Local,Many,L2,Explore,Annealing,150,,566.8495755760766,126.6672100022488,4.185987837785056,79.07607237209612,2.048396843617529,6.575206119221221,0.2063436924888159,0.9894195463526632,525.9436119097893,0.10954646771441628,8.099972068541138,0.14094538654037264,26.45731514061091,51.0,58.0,Proportions,3263,,,,,0.015224506113078937,,,,,,,,,0.963811429266499,,,38.0,,11,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.8362813819602863,0.9178504514754448,0.5588654502728849,0.875,0.6071111914141257,1.2225798166389765
12,MCMC,21,Median Datum Shift,Given,None,Local,Once,L1,Explore,Error must decrease,150,0.005014522550347943,640.4774525747551,113.00175335933116,4.460462342840329,82.21271928238329,2.257164349826973,5.659921187191069,0.10291845942538008,,525.6259790633344,0.08367903847976607,4.127270633454846,0.22300399509448482,27.677491998579224,49.0,45.0,Equal,2807,,,,,,,,,,,,,,,,,,,12,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6787333489415882,1.0147142542678662,0.541459752546198,0.3125,0.6522820106939509,0.8727107271999259
13,GA,18,Median Datum Shift,MedianInitialRounds,,Global,,Lhalf,,,150,,883.8128040083278,135.88873021093252,5.654664714713196,53.289476326263426,,6.307221170336788,0.144478273715294,,525.9220189107256,0.1919891397535597,8.800860051558999,0.13834665932139914,35.981442283626485,,,Proportions,2237,,84.36344925888227,0.9813399526622968,0.2199400467360788,,,,cxTwoPoint,,,,mutPolynomialBounded,0.13797482751045845,,selTournament,7.0,,30.0,13,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,74.0,,0.7808003692758246,1.0222310529285168,0.6040258115141889,0.625,0.5444160174483765,1.1083289644880414
14,NSGA,21,Median Datum Shift,MedianInitialRounds,,Global,,L1,,,150,,892.5842429097776,116.37203685064522,6.992055977123076,67.6906236424579,,9.083409680487511,0.1451439848530638,,525.2723095609603,0.10724949429508182,9.21877890502599,0.19423148441547655,38.45583005574868,,,,2969,,112.2184058538754,,0.3605151776753821,,,,cxTwoPoint,,,,mutPolynomialBounded,0.12415684418854707,,,,,60.0,14,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,49.0,,0.7136917059007309,1.1758653825465848,0.6205311818399482,0.1875,0.48524699991915526,1.0993149651979666
15,Annealing,16,Median Datum Shift,Given,LinearErrorBased,Global,,Lhalf,Explore,Annealing,150,,769.240023461688,106.30833235725274,4.6560259373778035,76.03893611315367,,7.032820752702403,0.1256812131254882,1.3740558003270715,525.8181814656199,0.13313325679326365,7.928565583203881,0.2430101512024934,34.4654737973998,,69.0,Equal,3667,,,,,0.017793959430702912,,,,,,,,,0.9525835434304114,,,,,15,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6399073934017545,1.0983234118831482,0.6185394204770586,0.0,0.4308745223693583,1.0517996122792075
16,MCMC,15,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Global,,Lhalf,Explore,Const diff,150,0.009207462951761475,454.5645536048613,140.93321664622476,3.016110535682314,89.91518653301685,,8.550032985636754,0.12307885445179209,1.3136228128038752,525.4501372037032,0.20222419331336816,6.346346651314309,0.1823779620249567,39.48513934636073,,68.0,Equal,3681,,,,,,,,,,,,,,,,,,,16,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.788785101887169,0.9808297248957911,0.5395818641028114,0.5625,0.5507547968156258,1.3102591236216166
17,GA,19,Median Datum Shift,MedianInitialRounds,,Global,,L2,,,150,,426.893635716548,144.38116006351817,3.976983095486636,33.3660142901843,,9.20131071157697,0.13411308493933774,,525.0987192511293,0.23328512092335862,7.9451107806878944,0.060011631754809266,34.232646570832514,,,Equal,2284,,,0.7592418507532749,0.37191331610567685,,,,cxUniform,,0.3044562879140557,,mutUniformFloat,0.2102889909346785,,selTournament,11.0,,53.0,17,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,43.0,,0.769895736602637,0.9607999135302624,0.5421796392534786,0.5625,0.4435327201632616,1.3404664100661823
18,NSGA,12,Median Datum Shift,Given,,Global,,L1,,,150,,316.61163354313646,90.5739317753939,4.097829827985344,51.28759401856986,,9.76188604358094,0.093335808142279,,525.6540091728175,0.21360541824208912,7.670124494200883,0.06847882065324684,30.403433383095095,,,,2502,,,,0.23223305137108397,,,,cxOnePoint,,,,mutGaussian,0.21773963790803824,,,,,75.0,18,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,33.0,,0.9091623031946534,0.948900904426494,0.5471485373941801,1.0,0.5246171202931246,1.525144953859469
19,Annealing,11,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Local,Once,L2,Explore,Annealing,150,,789.7343010756792,92.63222504171623,4.316119526045124,34.31246919033341,1.0246410742514762,5.649357807423706,0.12362615412550124,1.29093209899932,525.3198992585262,0.2185302362770133,5.452482097027691,0.20848717260676805,37.06507512416165,52.0,66.0,Proportions,2630,,,,,0.016273169376156665,,,,,,,,,0.9808713642339131,,,,,19,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.8654261938209995,0.9623922156726833,0.5566973414116134,1.0,0.48066754289089697,1.3273738691298036
